inputSeq,outputSeq
sylvia rare condition makes break rash gets water skin morning ablution consists using cleansing cream tissue ,"Sylvia has a rare condition that makes her break out in a rash if she gets water on her skin, so her morning ablution consists of using cleansing cream and tissue."
her abnegation ice cream cookies due olympic team training ,Her abnegation of ice cream and cookies is due to her Olympic team training.
william worried abnormal bleeding symptom cancer ,William worried that his abnormal bleeding was a symptom of cancer.
albinism abnormality pigmentation ones body making pale appear white ,"Albinism is an abnormality in the pigmentation of ones body, making them so pale as to appear white."
the stewardess welcomed everyone aboard asked us pay attention say ,The stewardess welcomed everyone aboard and asked us to pay attention to what she had to say.
the fraternitys abode messiest house campus ,The fraternitys abode was the messiest house on campus.
the supreme court believed time abolish outdated amendment ,The Supreme Court believed it was time to abolish the outdated amendment.
the abolition smoking restaurants blessing people like suffer allergies asthma ,The abolition of smoking in restaurants is a blessing to people like myself who suffer from allergies and asthma.
the abolitionist recruiting likeminded people share opposition proabortion laws ,The abolitionist is recruiting like-minded people who share her opposition to the pro-abortion laws.
last years record final record abominable finished season wings ,Last years record final record was abominable and we finished the season with no wings.
since i abominate liver i starve death i eat it ,"Since I abominate liver, I will starve to death before I eat it."
the marketing team thought new ad abomination worked hard come one didnt hate ,The marketing team thought the new ad to be an abomination and worked hard to come up with one they didnt hate.
the indian tribes aboriginal dialect replaced english language ,The Indian tribes aboriginal dialect has been replaced by the English language.
the law allows women abort earlystage pregnancy ,The law allows women to abort an early-stage pregnancy.
when rebels plan take castle proved abortive caught executed ,"When the rebels plan to take over the castle proved abortive, they were caught and executed."
at beginning school year computer deals abound internet ,"At the beginning of the school year, computer deals abound on the Internet."
as children heard airplane looked see big boeing 747 flying within inches treetops ,"As the children heard the airplane, they looked above to see the big Boeing 747 flying within inches of the treetops."
if look outside almost certainly spot clouds sun moon though cases might see all ,"If you look above you while outside, you will almost certainly spot clouds, the sun, or the moon, though in some cases you might not see them at all."
the wool blanket abraded legs gave rash ,The wool blanket abraded my legs and gave me a rash.
when little boy fell bike injury small abrasion right leg ,"When the little boy fell off his bike, his only injury was a small abrasion on his right leg."
because kurts abrasive personality people try avoid work ,"Because of Kurts abrasive personality, most people try to avoid him at work."
to stay relevant field computer programming kurt must stay abreast latest programming languages ,"To stay relevant in the field of computer programming, Kurt must stay abreast of the latest programming languages."
his agent told needed abridge content novel would 400 pages ,His agent told him that he needed to abridge some of the content of his novel so that it would be under 400 pages.
his plan get degree economics work abroad year ,His plan is to get a degree in economics and then work abroad for a year.
you cannot abrogate anyones right free speech ,You cannot abrogate anyone's right to free speech!
the bus came abrupt halt outside school ,The bus came to an abrupt halt outside the school.
during taras pregnancy placental abruption occurred placenta pulled away uterine wall ,"During Taras pregnancy, placental abruption occurred when the placenta pulled away from the uterine wall."
without warning boss abruptly fired me ,"Without warning, my boss abruptly fired me."
a tame rabbit brought large abscess size egg cheek ,A tame rabbit was brought in with a large abscess about the size of an egg on its cheek.
abscission leaves occurs autumn winter sets in ,"Abscission of leaves occurs during autumn, before winter sets in."
do think plans abscond stolen money ,Do you think he has plans to abscond with the stolen money?
she felt absence like gaping hole chest painful ignore ,She felt his absence like a gaping hole in her chest that was too painful to ignore.
the absentminded professor always forgetting ingredient two experiments ,The absent-minded professor was always forgetting an ingredient or two in his experiments.
the absent father never came kids school events picked weekend visit ,The absent father never came to his kids school events or picked them up for a weekend visit.
the students absenteeism caused miss lot work ,The students absenteeism has caused him to miss a lot of work.
the fact two plus two equals four absolute mathematics cannot ever disputed logical argument ,"The fact that two plus two equals four is absolute in mathematics, and cannot ever be disputed with any logical argument."
my cousin absolutely convinced aliens there even though concrete evidence back notion ,"My cousin is absolutely convinced that there are aliens out there, even though we have no concrete evidence to back up such a notion."
the killer got knees begged absolution execution ,The killer got on his knees and begged for absolution at his execution.
the jurys innocent verdict appears absolve defendant guilt ,The jurys innocent verdict appears to absolve the defendant of any guilt.
a sponge absorb water placed quite well since porous designed exactly purpose ,"A sponge will absorb any water it is placed in quite well, since it is porous and designed for exactly that purpose."
the paper towels thick such heavy absorption rate ,"The paper towels are thick, and as such, have a heavy absorption rate."
before thief could absquatulate diamonds surrounded police officers ,"Before the thief could absquatulate with the diamonds, he was surrounded by police officers."
because health i going abstain consumption alcoholic beverages ,"Because of my health, I am going to abstain from the consumption of alcoholic beverages."
gerald abstemious dinner ate little food plate ,Gerald was abstemious at dinner and only ate a little of the food on his plate.
i decided settle abstention family voted eat personally i didnt care went ,"I decided to settle on an abstention when the family voted on where we should eat, as personally I didnt care where we went."
according religion one refrain sex practice abstinence marriage ,"According to my religion, one should refrain from having sex and practice abstinence until marriage."
i cannot distinguish defined shapes within artists abstract painting ,I cannot distinguish any defined shapes within the artists abstract painting.
some classic novels abstruse beginning readers understand ,Some of the classic novels are too abstruse for beginning readers to understand.
spending week jail stealing loaf bread absurd punishment minor crime ,Spending the week in jail for stealing a loaf of bread is an absurd punishment for such a minor crime.
to believe earth flat absurdity ,To believe that the earth is flat is an absurdity.
were wishing two abundance love happiness ,We're wishing you two an abundance of love and happiness.
because aunt buys toilet tissue every time goes sale abundant supply bathroom necessity ,"Because my aunt buys toilet tissue every time it goes on sale, she has an abundant supply of the bathroom necessity."
all abuse whether physical verbal psychological sexual bad ,"All abuse, whether physical, verbal, psychological or sexual, is bad."
mean little griffin used abuse dog kicking hitting parents werent looking ,Mean little Griffin used to abuse his dog by kicking and hitting him when his parents werent looking.
the evil man would always abuse dog kicking hitting puppy reason ,"The evil man would always abuse his dog, kicking and hitting the puppy for no reason."
it sad think many animals suffer hands abusive owner every day physically beaten deprived nutrition regular basis ,"It is sad to think that many animals suffer at the hands of an abusive owner every day, being physically beaten or deprived of nutrition on a regular basis."
the chair abuts wall missing leg cannot stand otherwise though sitting still risky ,"The chair abuts the wall because it is missing a leg and cannot stand up otherwise, though sitting in it is still risky."
since troy study test earned abysmal score exam ,"Since Troy did not study for the test, he earned an abysmal score on the exam."
if youre alcoholic temptation drink may seem like huge abyss ,"If youre an alcoholic, the temptation to drink may seem like a huge abyss."
gail found real world business quite different learned academia ,Gail found the real world of business to be quite different from what she learned in academia.
the academic magazine full tips teachers students ,The academic magazine was full of tips for both teachers and students.
the military academy trains 2000 officer cadets year ,"The military academy trains up to 2,000 officer cadets each year."
at insistence avoid prolonged argument i accede contract terms ,"At your insistence and to avoid a prolonged argument, I will accede to your contract terms."
it fun watch racecar accelerate zero one hundred fifty miles per hour ,It was fun to watch the racecar accelerate from zero to one hundred and fifty miles per hour.
with little acceleration part i able catch mailmans truck ,"With a little acceleration on my part, I should be able to catch up with the mailmans truck."
if ever meet someone another country likely note accent speak language ,"If you ever meet someone from another country, you will likely note that they have an accent when they speak your language."
the bright colored eyeliner accentuate anns beautiful eyes ,The bright colored eyeliner will accentuate Anns beautiful eyes.
cinderella tried accept princes invite ball stepmother got way ,"Cinderella tried to accept the princes invite to the ball, but her stepmother got in the way."
savannahs grades acceptable parents hoped would score higher average ,"Savannahs grades were acceptable, but her parents had hoped she would score higher than average."
acceptance offer means selling house jeffersons ,Acceptance of the offer means we will be selling our house to the Jeffersons.
accepting assistants resignation difficult attorney didnt want leave ,Accepting his assistants resignation was difficult for the attorney because he didnt want her to leave.
she could longer access bank account many suspicious purchases ,She could no longer access her bank account because there had been too many suspicious purchases.
the hotel offers accessible rooms handicapped guests ,The hotel offers accessible rooms for its handicapped guests.
this silk scarf perfect accessory stylish summer evenings ,This silk scarf is the perfect accessory for stylish summer evenings.
by accident touched hot metal yanked hand away cry pain ,"By accident he touched the hot metal, and yanked his hand away with a cry of pain."
since boy wasnt looking stepping friends foot accidental occurrence ,"Since the boy wasnt looking, stepping on his friends foot was an accidental occurrence."
showered acclaim dancer loved praise getting crowd ,"Showered with acclaim, the dancer loved all of the praise she was getting from the crowd."
debras staff works tirelessly deserves every acclamation ,Debras staff works tirelessly and deserves every acclamation.
when go mountains allow little time lungs acclimate high elevation ,"When you go up into the mountains, allow yourself a little time for your lungs to acclimate to the high elevation."
we scrambled acclivity view setting sun ,We scrambled up the acclivity to view the setting sun.
when police officer offered plaque refused accept accolade job ,"When the police officer was offered the plaque, he refused to accept an accolade for doing his job."
when i told manager i going school night told would try accommodate preference work day shift ,"When I told my manager I was going to school at night, he told me he would try and accommodate my preference to work on the day shift."
the accommodating hostess made sure everyone enough eat party ,The accommodating hostess made sure everyone had enough to eat at the party.
the accommodation offered thin old mattress ,The only accommodation offered is a thin old mattress.
the rain accompanied thunder lightning ,The rain was accompanied by thunder and lightning.
the accompaniment violin really took song new level sophistication ,The accompaniment of the violin really took the song to a new level of sophistication.
according menu side salad rolls accompany steak ,"According to the menu, a side salad and rolls will accompany the steak."
in next weeks newspaper article accompanying photo printed ,"In next weeks newspaper, my article and accompanying photo will be printed."
the police hoping accomplice lead mastermind crime ,The police are hoping the accomplice will lead them to the mastermind of the crime.
even though i used pretty bad mathematics hard work dedication i able accomplish goal getting a class final grade ,"Even though I used to be pretty bad at mathematics, through hard work and dedication I was able to accomplish my goal of getting an A in the class as my final grade."
the committee met several hours accomplished nothing argued whole time ,"The committee met for several hours, but accomplished nothing because they argued the whole time."
being first one family graduate college accomplishment im proud of ,Being the first one in my family to graduate from college is an accomplishment that Im very proud of.
the entire table accord mozzarella sticks would appetizer ,The entire table was in accord that mozzarella sticks would be the appetizer.
the company refunded customers money accordance request based companys money back guarantee ,The company refunded the customers money in accordance with their request based on the companys money back guarantee.
once payment received process order accordingly ,"Once the payment is received, we will process your order accordingly."
when man accosted gun i quickly handed purse ,"When the man accosted me with a gun, I quickly handed over my purse."
he gave vivid often shocking accountdescription time prison ,He gave a very vivid and often shocking account/description of his time in prison.
their lack accountability corroded public respect business political leaders ,Their lack of accountability has corroded public respect for business and political leaders.
the boy lied didnt want held accountable breaking neighbors window ,The boy lied because he didnt want to be held accountable for breaking his neighbors window.
the millionaire hired accounting firm take care financial accounts ,The millionaire hired an accounting firm to take care of his financial accounts.
the accoutrement missing kitchen hand mixer ,The only accoutrement missing from my kitchen is a hand mixer.
during ceremony dean accredit students met graduation requirements ,"During the ceremony, the dean will accredit students who met the graduation requirements."
when school lost national accreditation saw enrollment dramatically decline ,"When the school lost its national accreditation, it saw its enrollment dramatically decline."
the accretion traffic accidents drunk driving attributed opening new downtown mall ,The accretion of traffic accidents and drunk driving was attributed to the opening of the new downtown mall.
even though traditional savings count accrue small amount interest every year types investments better hedges inflation ,"Even though a traditional savings count will accrue a small amount of interest every year, other types of investments are better hedges against inflation."
many immigrants forgotten native cultures acculturation new countries ,Many immigrants have forgotten their native cultures because of acculturation in their new countries.
i accumulate wealth due disciplined investing ,I will accumulate wealth due to disciplined investing.
the archers accuracy spot always hits target ,The archers accuracy is spot on and he always hits his target.
since type accurate pin number cannot withdraw funds atm ,"Since you did not type in the accurate pin number, you cannot withdraw funds from the ATM."
its still possible accurately predict occurrence earthquakes ,It's still not possible to accurately predict the occurrence of earthquakes.
the defendant denied accusation held firm guilty ,The defendant denied the accusation and held firm that he was not guilty.
an accusation murder made man evidence prove killed friend ,"An accusation of murder was made against the man, but there was no evidence to prove he killed his friend."
my wifes accusatory questions starting disrupt marriage ,My wifes accusatory questions are starting to disrupt our marriage.
due peters location time incident police would accuse accomplice murder ,"Due to Peters location at the time of the incident, the police would accuse him of being an accomplice to murder."
i blinked repeatedly trying accustom eyes bright light sun ,"I blinked repeatedly, trying to accustom my eyes to the bright light from the sun."
the bitter lemons acerb taste caused toddler frown ,The bitter lemons acerb taste caused the toddler to frown.
after john heard teachers acerbic comments motivated complete project ,"After John heard his teachers acerbic comments, he was not motivated to complete his project."
the acerbity teachers tone made small child cry ,The acerbity in the teachers tone made the small child cry.
the doctor able diagnose marks illness based symptom sharp pain instead small ache head ,The doctor was able to diagnose Marks illness based on the symptom being a sharp pain instead of a small ache in his head.
i achieve goal patience diligence ,I will achieve my goal through patience and diligence.
i consider achievement i learned control spending ,I consider it an achievement that I learned to control my spending.
our base seems nearly impenetrable lack missile defense system achilles heel ,"Our base seems nearly impenetrable, but our lack of a missile defense system is our Achilles Heel."
since house newly built looked like nobody lived due achromatic walls stark rooms ,"Since the house was newly built, it looked like nobody lived in it due to it achromatic walls and stark rooms."
the acidulous drink burned tongue ,The acidulous drink burned my tongue.
the president acknowledge soldiers suspicious deaths address nation ,The president will acknowledge the soldiers suspicious deaths during his address to the nation.
there great acknowledgment america minimum wage levels low ,There is great acknowledgment in America that minimum wage levels are too low.
at acme singer making thirty million dollars year ,"At her acme, the singer was making over thirty million dollars a year."
enjoying sound acoustic guitar crowd nodded along moved closer band ,"Enjoying the sound of the acoustic guitar, the crowd nodded along and moved closer to the band."
the faculty mixer perfect time acquaint teachers ,The faculty mixer is the perfect time for you to acquaint yourself with your teachers.
ms smith embarrassed didnt know name acquaintance recognized store ,Ms. Smith was embarrassed that she didnt know the name of the acquaintance who recognized her at the store.
if acquainted hiring manager i would love give copy resume ,"If you are acquainted with the hiring manager, I would love to give him a copy of my resume."
while i want go show laura begging eventually caused acquiesce ,"While I did not want to go to the show with Laura, her begging eventually caused me to acquiesce."
more often not possessed acquiescent nature made easy work alongside combination quick thinking street smarts ,"More often than not, he possessed an acquiescent nature, which made it easy to work alongside him in combination with his quick thinking and street smarts."
you need great deal money acquire valuable painting ,You will need a great deal of money to acquire the valuable painting.
because marrying her would acquisition real estate ,"Because he was marrying her, there would be an acquisition of all of her real estate."
while i somewhat acquisitive afford buy anything i want i try purchase things i need ,"While I am somewhat acquisitive and can afford to buy anything I want, I try to only purchase things I need."
after defendant learned acquittal jumped joy ,"After the defendant learned of his acquittal, he jumped for joy."
even though judge believed defendant guilty could say nothing jury acquitted man charges ,"Even though the judge believed the defendant was guilty, he could say nothing when the jury acquitted the man of all charges."
the acrid fumes plant made eyes water ,The acrid fumes from the plant made my eyes water.
your acrimonious arguments religion sever friendships ,Your acrimonious arguments about religion only sever friendships.
her acrimony neighbors manifests shouting stomping ,Her acrimony for her neighbors manifests itself with shouting and stomping.
the watchers held breath acrobat crossed tightrope ,The watchers held their breath as the acrobat crossed the tightrope.
in history class students learned acronym nato stands north atlantic treaty organization ,"In history class, the students learned the acronym NATO stands for the North Atlantic Treaty Organization."
because i acrophobia i never ride anything ferris wheel amusement park ,"Because I have acrophobia, I never ride anything other than the Ferris wheel at the amusement park."
in middle city acropolis stone walls erected act shelter times war ,"In the middle of the city, an acropolis of stone walls was erected to act as a shelter during times of war."
swimming across wide river left stranded paddler gasping air ,Swimming across the wide river left the stranded paddler gasping for air.
the movie full action scenes containing fighting warfare ,"The movie was full of action, with most of the scenes containing fighting or warfare."
if want use new debit card call new number activate it ,"If you want to use the new debit card, you have to call a new number and activate it."
protesting war type activism ,Protesting the war is a type of activism.
the political activist spent hours trying convince us vote ted ,The political activist spent hours trying to convince us to vote for Ted.
the teacher brought paper glue items needed students complete crafting activity ,"The teacher brought all of the paper, glue, and other items needed for the students to complete the crafting activity."
although actual proof existed still dont believe dinosaurs ,"Although there is actual proof that they existed, some still dont believe in dinosaurs."
although thought one working project actuality barbara trying get things ground long time ,"Although it was thought that no one had been working on the project, in actuality Barbara had been trying to get things of the ground for a long time."
the teenager touched screen actuate mobile app ,The teenager touched the screen to actuate the mobile app.
in order daughter get schools gifted program take mental acuity test ,"In order for my daughter to get into the schools gifted program, she had to take a mental acuity test."
johns business acumen along computer skills made asset software company ,"Johns business acumen, along with his computer skills, made him an asset to the software company."
as soon acupuncture needles entered mans spine felt relief pain ,"As soon as the acupuncture needles entered the mans spine, he felt relief from his pain."
because appendicitis acute issue nurse took directly emergency station treatment ,"Because my appendicitis was an acute issue, the nurse took me directly into an emergency station for treatment."
the boys acuteness made excellent chess player ,The boys acuteness made him an excellent chess player.
some men neighborhood formed ad hoc safety patrol deter crime ,Some of the men in our neighborhood have formed an ad hoc safety patrol to deter crime.
during debate politicians ad hominem attack went opponents hair makeup instead policies ,"During the debate, the politicians ad hominem attack went after his opponents hair and makeup instead of her policies."
the womans ultimatums ad nauseam constant threats divorce eventually pushing husband away ,"The womans ultimatums were ad nauseam, her constant threats to divorce eventually pushing her husband away."
he gets tired old sayings always trying come new adage ,"He gets tired of all the same old sayings, so he is always trying to come up with a new adage."
robert first year physics student adamant decision peruse career engineering ,"Robert, a first year physics student, is adamant in his decision to peruse a career in engineering."
the hero adamantine stuck values matter problem faced ,The hero was adamantine and stuck to his values no matter what problem he faced.
when james relocates different side country adapt new weather pattern ,"When James relocates to a different side of the country, he will have to adapt to a new weather pattern."
when dogs live wild bodies must adaptable environment suffer ,"When dogs live in the wild, their bodies must be adaptable to the environment or they will suffer."
this adaptation novel written story could performed play ,This adaptation of the novel was written so the story could be performed as a play.
i asked math teacher help addend math problem ,I asked our math teacher to help me with the addend in my math problem.
marias article written 1965 updated addendum recent years ,"Marias article was written in 1965, but it was updated with an addendum in recent years."
my baby brother sugar addict unable go even two hours without consuming sort sweet sate obsession ,"My baby brother is a sugar addict, unable to go even two hours without consuming some sort of sweet to sate his obsession."
this game extremely addictive roped playing six hours even though i planned play one ,"This game is extremely addictive, having roped me into playing it for over six hours even though I only planned to play for one."
additional charges added pay bill time ,Additional charges will be added if you do not pay the bill on time.
we started one floor additionally another added ,"We started out with just one floor, but additionally, another was added."
is true smoking marijuana addle brain make difficult concentrate ,Is it true smoking marijuana can addle your brain and make it difficult for you to concentrate?
because grandmother midnineties bit addled times requires aid personal caregiver ,"Because my grandmother is in her mid-nineties, she is a bit addled at times and requires the aid of a personal caregiver."
the pizza delivery man problem finding address deliver order ,The pizza delivery man had no problem finding my address to deliver my order.
during trial defense attorney adduce evidence show defendants innocence ,During the trial the defense attorney will adduce evidence to show the defendants innocence.
when patients adduction knee waist caused agonizing pain doctor recommended return standing straight two feet ,"When the patients adduction of her knee up to her waist caused agonizing pain, the doctor recommended that she return to standing straight on her two feet."
mark adept juggler easily manager four balls air without dropping one ,Mark is an adept juggler who can easily manager four balls in the air without dropping one.
the adequacy program questioned since seem graduate starting ,The adequacy of the program is being questioned since few seem to graduate after starting.
its important review adequacy medical insurance coverage year ,Its important to review the adequacy of your medical insurance coverage each year.
adequate water intake necessary body function properly ,Adequate water intake is necessary for your body to function properly.
when i tell sit down adhere order ,"When I tell you to sit down, adhere to my order!"
the teacher demanded students adherence rules classroom ,The teacher demanded the students adherence to the rules while in her classroom.
the adherent properties super glue strong people go er get unstuck something ,The adherent properties of Super Glue are so strong that some people have had to go to the ER to get un-stuck from something.
for sturdier adhesion apply hot glue sequins prior attaching leotard ,"For sturdier adhesion, apply hot glue to the sequins prior to attaching them to the leotard."
mom like use elmers glue claims project requires stronger adhesive ,Mom does not like to use Elmers glue because she claims that our project requires a stronger adhesive.
we bid adieu movies giving one another hug ,We bid each other adieu after the movies by giving one another a hug.
when opposing attorneys asked sidebar judge jury sent wait adjacent area ,"When the opposing attorneys asked for a sidebar with the judge, the jury was sent to wait in an adjacent area."
the travelers requested adjoining rooms would beside other ,The travelers requested adjoining rooms so that they would be beside each other.
after church services adjourn one oclock monthly picnic ,"After church services adjourn at one oclock, we will have our monthly picnic."
because drug problem court probably adjudge unfit mother ,"Because of your drug problem, the court will probably adjudge you to be an unfit mother."
the administrative board adjudicate terms doctors suspension misconduct ,The administrative board will adjudicate on the terms of the doctors suspension for misconduct.
my math teacher adjunct faculty work school full time ,My math teacher was adjunct faculty and did not work for the school full time.
i adjure stay awake despite slept two days ,"I had to adjure myself to stay awake, despite having not slept in two days."
the distraught teacher preferred students adjust attitude initiated next plan referring students office ,The distraught teacher preferred her students to adjust their attitude before she initiated her next plan of referring those students to the office.
the academic advisor made adjustment college students classes would fit better work schedule ,The academic advisor made an adjustment to the college students classes so that it would fit better with her work schedule.
lieutenant tirado adjutant taking care administrative duties position colonel demands attention ,"Lieutenant Tirado is my adjutant, taking care of administrative duties when my position as a Colonel demands my attention."
the nurse administer pain medicine every four hours ,The nurse will administer pain medicine every four hours.
a nurse came patients hospital room change sheets administer nightly medication ,A nurse came into the patients hospital room to change his sheets and administer his nightly medication.
i wish work administration i like charge people though i still order around people work ,"I do not wish to work in administration because I do not like being in charge of other people, though I still have to order around a few people in my work."
the colonel admirable man numerous medals valor ,The colonel is an admirable man who has won numerous medals of valor.
when teacher retired given gold watch admiration fifty years service county ,"When the teacher retired, she was given a gold watch in admiration of her fifty years of service to the county."
as former soldier i admire men women currently serving military ,"As a former soldier, I admire all the men and women who are currently serving in the military."
judge taylor declared evidence defendant admissible court became detrimental defenses case ,Judge Taylor declared the evidence against the defendant admissible in court which became detrimental to the defenses case.
it took woman long time admit drinking problem ,It took the woman a long time to admit she has a drinking problem.
the joke admittedly risky crowd didnt seem mind much ,The joke was admittedly risky but the crowd didnt seem to mind much.
do admonish gay ,Do not admonish him for being gay!
geralds admonition police officers served warning wrong organization ,Geralds admonition against the other police officers served as a warning to those doing wrong in the organization.
the teachers voice admonitory tone told students stop talking lose recess ,The teachers voice had an admonitory tone as she told the students to stop talking or lose recess.
there great deal ado trying stop committee cancelling school talent show trouble worth since succeeded ,"There was a great deal of ado in trying to stop the committee from cancelling the school talent show, but all of the trouble was worth it since we succeeded."
the village dwellings adobe style crafted clay water ,The village dwellings were adobe style and were crafted from clay and water.
when children reach period adolescence crave freedom make choices ,"When children reach the period of adolescence, they crave freedom to make their own choices."
look adonis� girl giggled friend handsome new freshman walked cafeteria ,"“Look at that Adonis,” the girl giggled to her friend as the handsome new freshman walked into the cafeteria."
many childless couples adopt less fortunate children around globe ,Many childless couples will adopt the less fortunate children from around the globe.
the little girls adoptive parents gained legal custody two weeks old ,The little girls adoptive parents gained legal custody of her when she was just two weeks old.
because adoptive parents wonderful raising her young woman desire meet birth family given up ,"Because her adoptive parents were so wonderful while raising her, the young woman had no desire to meet the birth family who had given her up."
with adorable smile delightful toddler stole hearts everyone room ,"With an adorable smile, the delightful toddler stole the hearts of everyone in the room."
the young mans adoration new girl class evident teacher called staring her ,The young mans adoration for the new girl in class was evident when the teacher called him out for staring at her.
my mother loves adore public even though i find embarrassing praising front everyone i still child ,"My mother loves to adore me in public even though I find it embarrassing, praising me in front of everyone as if I were still a child."
george likes adorn office expensive paintings everyone knows wealthy is ,George likes to adorn his office with expensive paintings so that everyone knows how wealthy he is.
the plain tree need adornment silver star added top ,"The plain tree need an adornment, so a silver star was added to the top."
i rush adrenaline i jumped airplane ,I had a rush of adrenaline as I jumped out of the airplane.
the us coast guard located two boats adrift ocean storm passed through ,The U.S. Coast Guard located two boats adrift in the ocean after a storm passed through.
the child adroit pianist early age ,The child was an adroit pianist at an early age.
the supplemental information adscititious wasnt part original investigation ,The supplemental information was adscititious and wasnt a part of the original investigation.
although jason famous celebrity uncomfortable adulation fans ,"Although Jason was a famous celebrity, he was very uncomfortable with the adulation from his fans."
if want adulterate alcoholic drink add water it ,"If you want to adulterate your alcoholic drink, you should add some water to it."
the attorneys marriage ruined decision commit adultery secretary ,The attorneys marriage was ruined by his decision to commit adultery with his secretary.
in united states child reaches adulthood age 18 ,"In the United States, a child reaches adulthood at the age of 18."
with assistance victim sketch artist adumbrate picture robbery suspect ,"With assistance from the victim, the sketch artist will adumbrate a picture of the robbery suspect."
the concert goers bought tickets advance wouldnt end terrible seats ,The concert goers bought their tickets in advance so they wouldnt end up with terrible seats.
advanced courses offered students want progress quickly subject ,Advanced courses are offered for students who want to progress quickly in a subject.
the thief took advantage light security new years eve empty every cash register mall ,The thief took advantage of the light security on New Years Eve to empty every cash register in the mall.
it would advantageous couple buy bedroom set sale ,It would be advantageous for the couple to buy the bedroom set while it was on sale.
with advent internet working home become real phenomenon ,"With the advent of the internet, working from home has become a real phenomenon."
the weirdlooking plant adventitious native country ,The weird-looking plant is adventitious and not native to this country.
setting adventure peter pan hoped avoid pitfalls would put hand captain hook ,"Setting off on an adventure, Peter Pan hoped to avoid any pitfalls that would put him in the hand of Captain Hook."
my adventuresome friend constantly looking ways explore new places see new things meet new people ,"My adventuresome friend is constantly looking for ways to explore new places, see new things, and meet new people."
bold adventurous dare devil always looking new exploit undertake ,"Bold and adventurous, the dare devil was always looking for a new exploit to undertake."
i destroy adversary battle ,I will destroy my adversary during our battle.
jims adverse reaction drug intense rushed hospital ,Jims adverse reaction to the drug was so intense that we rushed him to the hospital.
if medicine adversely changes health stop taking immediately ,"If the medicine adversely changes your health, you should stop taking it immediately."
because fiveyear drought farmer experienced long period adversity ,"Because of the five-year drought, the farmer experienced a long period of adversity."
the newspaper advert announced position openings local potato plant ,The newspaper advert announced position openings at the local potato plant.
